,Site,Code,Ucode,,,TStart,TStop,ShortName,Name,Location,Longitude,Latitude,Error,Parent,ShortEName,EName
GIK-1,LC43/4,,LP,,1960,*,GIK-1 LC43/4,"Ploshchadka 43/4 'Sankt-Peterburg', GIK-1, Plesetsk, Rossiya",-,40.4700,62.9300,0.0200,RVSN,-                -,,-
GIK-1,LC131/1,,LP,,1967,*,GIK-1 LC131,"Ploshchadka 131, GIK-1, Plesetsk, Rossiya",-,40.8000,62.9000,0.2000,RVSN,-                -,,-
GIK-1,LC132,,LP,,1967,*,GIK-1 LC132,"Ploshchadka 132 PU No 1 or 2, GIK-1, Plesetsk, Rossiya",-,40.8870,62.8930,0.1000,RVSN,-                -,,-
GIK-1,LC132/1,,LP,,1967,*,GIK-1 LC132/1,"Ploshchadka 132/1, GIK-1, Plesetsk, Rossiya",-,40.8870,62.8930,0.1000,RVSN,-                -,,-
GIK-1,LC132/2,,LP,,1967,*,GIK-1 LC132/2,"Ploshchadka 132/1, GIK-1, Plesetsk, Rossiya",-,40.8880,62.8930,0.1000,RVSN,-                -,,-
GIK-1,LC133,,LP,,1967,*,GIK-1 LC133,"PL 133 PU No. 1 or 3, GIK-1",-,40.8670,62.8950,0.1000,RVSN,-                -,,-
GIK-1,LC133/1,,LP,,1967,*,GIK-1 LC133/1,"Ploshchadka 133/1, GIK-1, Plesetsk, Rossiya",-,40.8670,62.8950,0.1000,RVSN,-                -,,-
GIK-1,LC133/3,,LP,,1967,*,GIK-1 LC133/3,"Ploshchadka 133/3, GIK-1, Plesetsk, Rossiya",-,40.8680,62.8950,0.1000,RVSN,-                -,,-
GIK-1,LC157,,LP,,1967,*,NIIP-53 LC157,"LC157, 53 NIIP, Plesetsk",-,40.8000,62.9000,0.2000,RVSN,-                -,,-
GIK-1,LC161/1,,LP,,1967,*,NIIP-53 LC161,"LC161 PU No. 1, 53 NIIP, Plesetsk",-,40.8000,62.9000,0.2000,RVSN,-                -,,-
GIK-1,LC161/ShPU-2,,LP,,1967,*,NIIP-53 LC161,"LC161 ShPU No. 2, 53 NIIP, Plesetsk",-,40.8000,62.9000,0.2000,RVSN,-                -,,-
GIK-1,LC163,,LP,,1967,*,NIIP-53 LC163,"LC163 , 53 NIIP, Plesetsk",-,40.8000,62.9000,0.2000,RVSN,-                -,,-
GIK-1,LC163/ShPU-2,,LP,,1967,*,NIIP-53 LC163,"LC163 ShPU No. 2, 53 NIIP, Plesetsk",-,40.8000,62.9000,0.2000,RVSN,-                -,,-
GIK-1,LC167,,LP,,1967,*,NIIP-53 LC167,"LC167, 53 NIIP, Plesetsk",-,40.8000,62.9000,0.2000,RVSN,-                -,,-
GIK-1,PU11,,LP,,1960,*,GIK-1 PU11,"PU 11, NIIP-53, Plesetsk, Rossiya",-,40.5000,62.9000,0.1000,RVSN,-                -,,-
GIK-2,LC5,-,LP,,1990,*,GIK-2 LC5,"Ploshchadka 5, GIK-2, Svobodniy",-,128.0000,51.7000,0.5000,RVSN,-                -,,-
VOST,PU1S,,LP,,2016,*,Vostochniy PU1S,"PU1S (371SK14) Soyuz pad, Vostochniy, Svobodniy, Amurskaya Oblast', Rossiya",-,128.3322,51.8769,0.0010,RVSN,Svobodniy        -,,-
GIK-5,PU31,,LP,,1956,*,GIK-5 PU31,"PU31 (Ploshchadka unknown), GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.0400,RVSN,-                -,,-
GIK-5,PU32,,LP,,1956,*,GIK-5 PU32,"PU32 (Ploshchadka unknown), GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.0400,RVSN,-                -,,-
GIK-5,PU33,,LP,,1956,*,GIK-5 PU33,"PU33 (Ploshchadka unknown), GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.0400,RVSN,-                -,,-
GIK-5,LC1,,LP,,1957,*,GIK-5 LC1,"Ploshchadka 1 PU 17P32-5, GIK-5, Baykonur, Kazakstan",-,63.3500,45.9120,0.0150,RVSN,-                -,,-
GIK-5,LC1/LC31,,LP,,1957,*,GIK-5 LC1/LC31,"Ploshchadka 1 or 31, PU 5 or 6, GIK-5, Baykonur, Kazakstan",-,63.3500,45.9120,0.1000,RVSN,-                -,,-
GIK-5,LC31,,LP,,1957,*,GIK-5 LC31,"Ploshchadka 31 PU 17P32-6, GIK-5, Baykonur, Kazakstan",-,63.5560,45.9820,0.0150,RVSN,-                -,,-
GIK-5,LC41,,LP,,1964,1968,GIK-5 LC41,"Ploshchadka 41, GIK-5, Baykonur, Kazakstan",-,63.6420,45.9580,0.0200,RVSN,-                -,,-
GIK-5,LC41/3,,LP,,1964,1968,GIK-5 LC41/3,"PU3, Ploshchadka 41L, GIK-5, Baykonur, Kazakstan",-,63.6420,45.9580,0.0200,RVSN,-                -,,-
GIK-5,LC41/4,,LP,,1964,1968,GIK-5 LC41/4,"PU4, Ploshchadka 41P, GIK-5, Baykonur, Kazakstan",-,63.6430,45.9580,0.0200,RVSN,-                -,,-
GIK-5,LC41/15,,LP,,1964,1968,GIK-5 LC41/15,"PU15, Ploshchadka 41, GIK-5, Baykonur, Kazakstan",-,63.6430,45.9550,0.0200,RVSN,-                -,,-
GIK-5,LC45/1,,LP,,1977,*,GIK-5 LC45/1,"PU1, Ploshchadka 45L, GIK-5, Baykonur, Kazakstan",-,63.6220,45.9260,0.0200,RVSN,-                -,,-
GIK-5,LC45/2,,LP,,1977,*,GIK-5 LC45/2,"PU2, Ploshchadka 45P, GIK-5, Baykonur, Kazakstan",-,63.6270,45.9300,0.0200,RVSN,-                -,,-
GIK-5,LC51,,LP,,1961,1962?,GIK-5 LC51,"Ploshchadka 51, GIK-5, Baykonur, Kazakstan",-,63.3470,45.9160,0.0150,RVSN,-                -,,-
GIK-5,LC60/6,,LP,,1962,1966?,GIK-5 LC60/6,"PU6, Ploshchadka 60, GIK-5, Baykonur, Kazakstan",-,63.8800,46.0020,0.0200,RVSN,-                -,,-
GIK-5,LC60/7,,LP,,1962,1966?,GIK-5 LC60/7,"PU7, Ploshchadka 60, GIK-5, Baykonur, Kazakstan",-,63.8800,46.0020,0.0200,RVSN,-                -,,-
GIK-5,LC60/8,,LP,,1962,1966?,GIK-5 LC60/8,"PU8, Ploshchadka 60, GIK-5, Baykonur, Kazakstan",-,63.8800,46.0020,0.0200,RVSN,-                -,,-
GIK-5,LC67/21,,LP,,1965,1968?,GIK-5 LC67/21,"PU 21, Ploshchadka 67L, GIK-5, Baykonur, Kazakstan",-,63.6830,45.9720,0.0200,RVSN,-                -,,-
GIK-5,LC67/22,,LP,,1965,1968?,GIK-5 LC67/22,"PU 22, Ploshchadka 67P, GIK-5, Baykonur, Kazakstan",-,63.6830,45.9720,0.0200,RVSN,-                -,,-
GIK-5,LC69L,,LP,,1965,1968?,GIK-5 LC69L,"Ploshchadka 69L, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC69P,,LP,,1965,1968?,GIK-5 LC69P,"Ploshchadka 69P, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC70,,LP,,1961,1965?,GIK-5 LC70,"Ploshchadka 70, GIK-5, Baykonur, Kazakstan",-,63.1020,46.0290,0.0150,RVSN,-                -,,-
GIK-5,LC70/9,,LP,,1961,1965?,GIK-5 LC70,"Ploshchadka 70, GIK-5, Baykonur, Kazakstan",-,63.1020,46.0290,0.0150,RVSN,-                -,,-
GIK-5,LC70/10,,LP,,1961,1965?,GIK-5 LC70,"Ploshchadka 70, GIK-5, Baykonur, Kazakstan",-,63.1020,46.0290,0.0150,RVSN,-                -,,-
GIK-5,LC70/11,,LP,,1961,1965?,GIK-5 LC70,"Ploshchadka 70, GIK-5, Baykonur, Kazakstan",-,63.1020,46.0290,0.0150,RVSN,-                -,,-
GIK-5,LC75,,LP,,1961,1965?,GIK-5 LC75,"Ploshchadka 75, GIK-5, Baykonur, Kazakstan",-,63.2070,45.9560,0.0150,RVSN,-                -,,-
GIK-5,LC75/12,,LP,,1961,1965?,GIK-5 LC75,"Ploshchadka 75, GIK-5, Baykonur, Kazakstan",-,63.2070,45.9560,0.0150,RVSN,-                -,,-
GIK-5,LC75/13,,LP,,1961,1965?,GIK-5 LC75,"Ploshchadka 75, GIK-5, Baykonur, Kazakstan",-,63.2070,45.9560,0.0150,RVSN,-                -,,-
GIK-5,LC75/14,,LP,,1961,1965?,GIK-5 LC75,"Ploshchadka 75, GIK-5, Baykonur, Kazakstan",-,63.2070,45.9560,0.0150,RVSN,-                -,,-
GIK-5,LC80/17,,LP,,1965,1970s?,GIK-5 LC80/17,"Ploshchadka 80, GIK-5, Baykonur, Kazakstan",-,64.0000,46.0000,0.0400,RVSN,-                -,,-
GIK-5,LC80/18,,LP,,1965,1980s?,GIK-5 LC80/18,"PU18, Ploshchadka 80 (later 140), GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC81/23,,LP,,1965,*,GIK-5 LC81/23,"PU23, Ploshchadka 81L, GIK-5, Baykonur, Kazakstan",-,62.9830,46.0590,0.0150,RVSN,-                -,,-
GIK-5,LC81/24,,LP,,1965,*,GIK-5 LC81/24,"PU24, Ploshchadka 81P, GIK-5, Baykonur, Kazakstan",-,62.9900,46.0670,0.0150,RVSN,-                -,,-
GIK-5,LC90,,LP,,1965,*,GIK-5 LC90,"PU19 or PU20, PL 90, GIK-5, Baykonur, Kazakstan",-,62.9350,46.0810,0.0150,RVSN,-                -,,-
GIK-5,LC90/19,,LP,,1965,*,GIK-5 LC90/19,"PU19, Ploshchadka 90L, GIK-5, Baykonur, Kazakstan",-,62.9350,46.0810,0.0150,RVSN,-                -,,-
GIK-5,LC90/20,,LP,,1965,*,GIK-5 LC90/20,"PU20, Ploshchadka 90P, GIK-5, Baykonur, Kazakstan",-,62.9360,46.0810,0.0150,RVSN,-                -,,-
GIK-5,LC101,,LP,,1986,1980s?,GIK-5 LC101,"Ploshchadka 101, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC101/93,,LP,,1986,1980s?,GIK-5 LC101,"Ploshchadka 101, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC102,,LP,,1965,1980s?,GIK-5 LC102,"Ploshchadka 102, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC102/32,,LP,,1965,1980s?,GIK-5 LC102,"Ploshchadka 102, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC103,,LP,,1965,1980s?,GIK-5 LC103,"Ploshchadka 103, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC103/94,,LP,,1965,1980s?,GIK-5 LC103,"Ploshchadka 103, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC104,,LP,,1965,1980s?,GIK-5 LC104,"Ploshchadka 104, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC104/92,,LP,,1965,1980s?,GIK-5 LC104,"Ploshchadka 104, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC105,,LP,,1965,1980s?,GIK-5 LC105,"Ploshchadka 105, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC105/99,,LP,,1965,1980s?,GIK-5 LC105,"Ploshchadka 105, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC106,,LP,,1965,1980s?,GIK-5 LC106,"Ploshchadka 106, GIK-5, Baykonur, Kazakstan",-,63.4410,45.9440,0.0200,RVSN,-                -,,-
GIK-5,LC106/100,,LP,,1965,1980s?,GIK-5 LC106,"Ploshchadka 106, GIK-5, Baykonur, Kazakstan",-,63.4410,45.9440,0.0200,RVSN,-                -,,-
GIK-5,LC107,,LP,,1965,1980s?,GIK-5 LC107,"Ploshchadka 107, GIK-5, Baykonur, Kazakstan",-,63.8100,46.0460,0.0200,RVSN,-                -,,-
GIK-5,LC108,,LP,,1965,*,GIK-5 LC108,"Ploshchadka 108, GIK-5, Baykonur, Kazakstan",-,63.8150,46.0460,0.0200,RVSN,-                -,,-
GIK-5,LC109,,LP,,1965,*,GIK-5 LC109,"Ploshchadka 109, GIK-5, Baykonur, Kazakstan",-,63.4420,45.9440,0.0200,RVSN,-                -,,-
GIK-5,LC109/95,,LP,,1965,*,GIK-5 LC109/95,"PU95, Ploshchadka 109, GIK-5, Baykonur, Kazakstan",-,63.4420,45.9440,0.0200,RVSN,-                -,,-
GIK-5,LC110L,,LP,,1969,*,GIK-5 LC110L,"Ploshchadka 110/37, GIK-5, Baykonur, Kazakstan",-,63.3090,45.9550,0.0150,RVSN,-                -,,-
GIK-5,LC110R,,LP,,1969,*,GIK-5 LC110R,"Ploshchadka 110/38, GIK-5, Baykonur, Kazakstan",-,63.3140,45.9500,0.0150,RVSN,-                -,,-
GIK-5,LC130,,LP,,1965,1980s?,GIK-5 LC130,"Ploshchadka 130, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC130/26,,LP,,1965,1980s?,GIK-5 LC130,"Ploshchadka 130, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC130/27,,LP,,1965,1980s?,GIK-5 LC130,"Ploshchadka 130, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC131,,LP,,1965,*,GIK-5 LC131,"Ploshchadka 131, GIK-5, Baykonur, Kazakstan",-,62.9680,46.0690,0.2000,RVSN,-                -,,-
GIK-5,LC131/28,,LP,,1965,*,GIK-5 LC131,"Ploshchadka 131, GIK-5, Baykonur, Kazakstan",-,62.9680,46.0690,0.2000,RVSN,-                -,,-
GIK-5,LC131/29,,LP,,1965,*,GIK-5 LC131,"Ploshchadka 131, GIK-5, Baykonur, Kazakstan",-,62.9680,46.0690,0.2000,RVSN,-                -,,-
GIK-5,LC131N/57,,LP,,1965,*,GIK-5 LC131,"Ploshchadka 131, GIK-5, Baykonur, Kazakstan",-,62.9680,46.0690,0.2000,RVSN,-                -,,-
GIK-5,LC132,,LP,,1965,1980s?,GIK-5 LC132,"Ploshchadka 132, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC132/30,,LP,,1965,1980s?,GIK-5 LC132,"ShPU-30,Ploshchadka 132, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC133,,LP,,1965,1980s?,GIK-5 LC133,"Ploshchadka 133, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC140/18,LC80/18,LP,,1965,1980s?,GIK-5 LC140/18,"PU18, Ploshchadka 140, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC140/33,,LP,,1965,1980s?,GIK-5 LC140/18,"PU33, Ploshchadka 140, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC140/96,,LP,,1965,1980s?,GIK-5 LC140/96,"PU96, Ploshchadka 140, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC141,,LP,,1965,1980s?,GIK-5 LC141,"Ploshchadka 141, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC141/31,,LP,,1965,1980s?,GIK-5 LC141,"Ploshchadka 141, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC142/34,,LP,,1965,1980s?,GIK-5 LC142/34,"Ploshchadka 142, GIK-5, Baykonur, Kazakstan (Also PL142-1a)",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC145/75,,LP,,1965,1980s?,GIK-5 LC145/75,"Ploshchadka 145, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC160,,LP,,1965,1980s?,GIK-5 LC160,"Ploshchadka 160, GIK-5, Baykonur, Kazakstan",-,62.9460,46.0730,0.0150,RVSN,-                -,,-
GIK-5,LC161/35,,LP,,1965,1980s?,GIK-5 LC161/35,"Ploshchadka 161, GIK-5, Baykonur, Kazakstan (Also PL142-16)",-,63.0770,46.0380,0.0300,RVSN,-                -,,-
GIK-5,LC162/36,,LP,,1965,1980s?,GIK-5 LC162/36,"Ploshchadka 162, GIK-5, Baykonur, Kazakstan (Also PL142-1v)",-,63.0790,46.0380,0.0300,RVSN,-                -,,-
GIK-5,LC163,,LP,,1965,1980s?,GIK-5 LC163,"Ploshchadka 163, GIK-5, Baykonur, Kazakstan",-,63.1720,46.0020,0.0150,RVSN,-                -,,-
GIK-5,LC164,,LP,,1965,1980s?,GIK-5 LC164,"Ploshchadka 164, GIK-5, Baykonur, Kazakstan",-,63.0140,45.9570,0.0300,RVSN,-                -,,-
GIK-5,LC165,,LP,,1965,1980s?,GIK-5 LC165,"Ploshchadka 165, GIK-5, Baykonur, Kazakstan",-,62.9120,45.9930,0.0300,RVSN,-                -,,-
GIK-5,LC170,,LP,,1965,*,GIK-5 LC170,"Ploshchadka 170, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC170/43,,LP,,1965,*,GIK-5 LC170,"Ploshchadka 170, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC171,,LP,,1965,*,GIK-5 LC171,"Ploshchadka 171, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC171/48,,LP,,1965,*,GIK-5 LC171,"Ploshchadka 171, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC172,,LP,,1965,*,GIK-5 LC172,"Ploshchadka 172, GIK-5, Baykonur, Kazakstan",-,63.0920,46.0650,0.0150,RVSN,-                -,,-
GIK-5,LC172/49,,LP,,1965,*,GIK-5 LC172,"Ploshchadka 172, GIK-5, Baykonur, Kazakstan",-,63.0920,46.0650,0.0150,RVSN,-                -,,-
GIK-5,LC173,,LP,,1965,*,GIK-5 LC173,"Ploshchadka 173, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC173/50,,LP,,1965,*,GIK-5 LC173,"Ploshchadka 173, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC174,,LP,,1965,*,GIK-5 LC174,"Ploshchadka 174, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC174/44,,LP,,1965,*,GIK-5 LC174,"Ploshchadka 174, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC175,,LP,,1965,*,GIK-5 LC175,"Ploshchadka 175, GIK-5, Baykonur, Kazakstan",-,62.9800,46.0450,0.0150,RVSN,-                -,,-
GIK-5,LC175/45,,LP,,1965,*,GIK-5 LC175/2,"PU45, Ploshchadka 175, GIK-5, Baykonur, Kazakstan",-,62.9800,46.0450,0.0150,RVSN,-                -,,-
GIK-5,LC175/58,,LP,,1965,*,GIK-5 LC175/2,"PU58 (1?)Ploshchadka 175, GIK-5, Baykonur, Kazakstan",-,62.9800,46.0450,0.0150,RVSN,-                -,,-
GIK-5,LC175/59,,LP,,1965,*,GIK-5 LC175/59,"PU59 (2?), Ploshchadka 175, GIK-5, Baykonur, Kazakstan",-,62.9800,46.0450,0.0150,RVSN,-                -,,-
GIK-5,LC175/1/58,,LP,,1965,*,GIK-5 LC175/2,"PU58 (1?)Ploshchadka 175, GIK-5, Baykonur, Kazakstan",-,62.9800,46.0450,0.0150,RVSN,-                -,,-
GIK-5,LC175/2/59,,LP,,1965,*,GIK-5 LC175/59,"PU59 (2?), Ploshchadka 175, GIK-5, Baykonur, Kazakstan",-,62.9800,46.0450,0.0150,RVSN,-                -,,-
GIK-5,LC176,,LP,,1965,*,GIK-5 LC176,"Ploshchadka 176, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC176/46,,LP,,1965,*,GIK-5 LC176,"Ploshchadka 176, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC177,,LP,,1965,*,GIK-5 LC177,"Ploshchadka 177, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC177/47,,LP,,1965,*,GIK-5 LC177,"Ploshchadka 177, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC179,,LP,,1965,*,GIK-5 LC179,"Ploshchadka 179, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC179/42,,LP,,1965,*,GIK-5 LC179,"Ploshchadka 179, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC181,,LP,,1965,*,GIK-5 LC181,"Ploshchadka 181, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC181/52,,LP,,1965,*,GIK-5 LC181,"Ploshchadka 181, GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.2000,RVSN,-                -,,-
GIK-5,LC191/66,,LP,,1965,1980s?,GIK-5 LC191/66,"Ploshchadka 191, GIK-5, Baykonur, Kazakstan",-,63.2230,45.9670,0.0150,RVSN,-                -,,-
GIK-5,LC192,,LP,,1965,1980s?,GIK-5 LC192,"Ploshchadka 192, GIK-5, Baykonur, Kazakstan",-,63.3060,46.0230,0.0150,RVSN,-                -,,-
GIK-5,LC193,,LP,,1965,1980s?,GIK-5 LC193,"Ploshchadka 193, GIK-5, Baykonur, Kazakstan",-,63.3820,45.9460,0.0150,RVSN,-                -,,-
GIK-5,LC194,,LP,,1965,1980s?,GIK-5 LC194,"Ploshchadka 194, GIK-5, Baykonur, Kazakstan",-,63.3010,45.8540,0.0150,RVSN,-                -,,-
GIK-5,LC195,,LP,,1965,1980s?,GIK-5 LC195,"Ploshchadka 195, GIK-5, Baykonur, Kazakstan",-,63.2350,45.7920,0.0250,RVSN,-                -,,-
GIK-5,LC196,,LP,,1965,1980s?,GIK-5 LC196,"Ploshchadka 196, GIK-5, Baykonur, Kazakstan",-,63.1290,45.8100,0.0250,RVSN,-                -,,-
GIK-5,LC200/39,,LP,,1965,*,GIK-5 LC200/39,"PU39, Ploshchadka 200L, GIK-5, Baykonur, Kazakstan",-,63.0370,46.0350,0.0150,RVSN,-                -,,-
GIK-5,LC200/40,,LP,,1965,*,GIK-5 LC200/40,"PU40, Ploshchadka 200P, GIK-5, Baykonur, Kazakstan",-,63.0440,46.0310,0.0150,RVSN,-                -,,-
GIK-5,LC241,,LP,,1965,1980s?,GIK-5 LC241,"Ploshchadka 241, GIK-5, Baykonur, Kazakstan",-,63.4520,45.8490,0.0300,RVSN,-                -,,-
GIK-5,LC242,,LP,,1965,1980s?,GIK-5 LC242,"Ploshchadka 242, GIK-5, Baykonur, Kazakstan",-,63.4520,45.9320,0.0300,RVSN,-                -,,-
GIK-5,LC243,,LP,,1965,1980s?,GIK-5 LC243,"Ploshchadka 243, GIK-5, Baykonur, Kazakstan",-,63.6920,45.8420,0.0300,RVSN,-                -,,-
GIK-5,LC244,,LP,,1965,1980s?,GIK-5 LC244,"Ploshchadka 244, GIK-5, Baykonur, Kazakstan",-,63.6120,45.8260,0.0300,RVSN,-                -,,-
GIK-5,LC245,,LP,,1965,1980s?,GIK-5 LC245,"Ploshchadka 245, GIK-5, Baykonur, Kazakstan",-,63.5060,45.8130,0.0200,RVSN,-                -,,-
GIK-5,LC246,,LP,,1965,1980s?,GIK-5 LC246,"Ploshchadka 246, GIK-5, Baykonur, Kazakstan",-,63.4140,45.7520,0.0200,RVSN,-                -,,-
GIK-5,LC250,,LP,,1987,*,GIK-5 LC250,"Ploshchadka 250, GIK-5, Baykonur, Kazakstan",-,63.3090,45.9950,0.0150,RVSN,-                -,,-
GIK-5,PL251,,LP,,1987,*,GIK-5 PL251,"Buran runway, GIK-5 Baykonur",-,63.3240,46.0290,0.0200,RVSN,-                -,,-
GNIIP,Yu-1,,LP,,1994,-,GNIIP Yu-1,"ShPU Ploshch. Yuzhnaya-1, , Plesetsk, Rossiya",-,-,-,,RVSN,,,-
GNIIP,LC158,-,LP,,1982,*,GNIIP LC158,"Ploshchadka 158, GNIIP, Plesetsk, Rossiya",-,41.0800,63.0500,0.3000,RVSN,-                -,,-
GNIIP,LC167,-,LP,,1982,*,GNIIP LC167,"15Zh58 SP, GNIIP, Plesetsk     (ID uncertain)",-,41.1300,62.9800,0.3000,RVSN,-                -,,-
GNIIP,LC(T2),-,LP,,1982,*,GNIIP LC(T2),"15Zh44/15Zh60 SP, GNIIP, Plesetsk",-,41.0830,63.0830,0.3000,RVSN,-                -,,-
GNIIP,LC(T3),-,LP,,1982,*,GNIIP LC(T3),"Topol'-M SP, GNIIP, Plesetsk",-,41.0920,63.1000,0.3000,RVSN,-                -,,-
GNIIP,LC(T4),-,LP,,1982,*,GNIIP LC(T4),"15Zh44 SP, GNIIP, Plesetsk",-,41.1200,63.1100,0.3000,RVSN,-                -,,-
GRLY,5IN,-,LP,,1971 Aug  7,1971 Aug 14,GRLY  5IN,"HARP 5-inch Gun, Fort Greely, Alaska",-,-146.0000,64.0000,0.2500,USA,-                -,,-
GRLC,Pad 1,-,LP,,1964 Feb 10,1973 Aug 24,GRLC  Pad 1,"Pad 1, Green River, Utah",-,-110.1000,38.9000,0.1000,USAF,-                -,,-
GRLC,Pad 2,-,LP,,1964 Feb 10,1973 Aug 24,GRLC  Pad 2,"Pad 2, Green River, Utah",-,-110.1000,38.9000,0.1000,USAF,-                -,,-
GRLC,Pad 3,-,LP,,1964 Feb 10,1973 Aug 24,GRLC  Pad 3,"Pad 3, Green River, Utah",-,-110.1000,38.9000,0.1000,USAF,-                -,,-
GTsP-4,Mayak-1,-,LP,,1959 Dec 21,1964 Oct 24,GTsP- Mayak-1,"Mayak-1 silo, GTsP-4, Kapustin Yar",-,46.2500,48.5500,0.1000,RVSN,-                -,,-
GTsP-4,Mayak-2,-,LP,,1959 Dec 21,1964 Oct 24,GTsP- Mayak-2,"Mayak-2 silo, GTsP-4, Kapustin Yar",-,46.2839,48.6841,0.0002,RVSN,-                -,,-
GTsP-4,ShPU,-,LP,,1960,1970s,GTsP- silo,"Unknown silo, GTsP-4, Kapustin Yar",-,46.2000,48.6000,0.2000,RVSN,-                -,,-
GTsP-4,OKB1,-,LP,,1946,1970s,GTsP- OKB1,"Korolev launch area, GTsP-4, Kapustin Yar",-,45.7500,48.7500,0.0200,RVSN,-                -,,-
GTsP-4,MR-100,-,LP,,1960,*,GTsP- MR-100,"MR-100 launch area, GTsP-4, Kapustin Yar",-,46.2300,48.6700,0.0200,RVSN,-                -,,-
